City,City ID,Cloudiness (%),Country,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (MPH)
Lorengau,2092164,100,PG,86,-2.02,147.27,79.07,2.42
Busselton,2075265,0,AU,69,-33.64,115.35,48.0,19.08
Karoi,889191,1,ZW,64,-16.82,29.68,58.01,4.76
East London,1006984,100,ZA,90,-33.02,27.91,58.01,5.23
Gemena,2315728,68,CD,96,3.25,19.78,70.97,2.86
Ribeira Grande,3372707,75,PT,68,38.52,-28.7,68.0,8.05
Butaritari,2110227,83,KI,78,3.07,172.79,83.57,14.18
Punta Arenas,3874787,75,CL,55,-53.16,-70.91,37.4,17.22
Krasnokamensk,2021618,0,RU,42,50.1,118.04,42.53,9.46
Qaanaaq,3831208,64,GL,81,77.48,-69.36,26.69,3.6
Aklavik,5882953,75,CA,61,68.22,-135.01,64.4,4.7
Hanzhong,1808857,99,CN,87,33.08,107.03,55.31,3.02
Waddan,2209055,0,LY,40,29.16,16.14,77.81,18.39
Murgab,1218612,90,TM,36,37.5,61.97,77.0,9.17
Jamestown,2069194,32,AU,87,-33.21,138.6,50.63,10.67
Gravdal,3147822,40,NO,65,59.79,5.78,46.4,21.92
Opuwo,3354077,0,NA,30,-18.06,13.84,65.93,7.63
Astana,1526273,0,KZ,43,51.13,71.43,55.4,13.42
Mataura,6201424,99,NZ,94,-46.19,168.86,48.99,6.22
Provideniya,4031574,90,RU,87,64.42,-173.23,33.8,4.47
Cap Malheureux,934649,40,MU,64,-19.98,57.61,73.4,10.29
Port Alfred,964432,100,ZA,93,-33.59,26.89,58.91,4.45
Kaeo,2189343,91,NZ,95,-35.1,173.78,63.0,18.45
Tuktoyaktuk,6170031,75,CA,81,69.44,-133.03,41.0,14.99
Tokamachi,1850217,97,JP,80,37.13,138.76,69.01,6.55
Katsuura,1865309,75,JP,83,33.93,134.5,71.6,18.34
Hithadhoo,1282256,100,MV,76,-0.6,73.08,83.93,10.11
Monrovia,2274895,100,LR,82,6.33,-10.8,80.33,8.97
Rock Sound,3571592,0,BS,66,24.9,-76.2,77.99,12.26
Georgetown,3378644,20,GY,70,6.8,-58.16,91.4,13.87
Half Moon Bay,5354943,90,US,67,37.46,-122.43,64.99,11.41
Ushuaia,3833367,75,AR,74,-54.81,-68.31,30.2,11.41
Dikson,1507390,24,RU,93,73.51,80.55,22.37,7.23
New Norfolk,2155415,75,AU,61,-42.78,147.06,48.2,8.05
Klaksvik,2618795,98,FO,69,62.23,-6.59,37.4,14.99
San Patricio,3437029,100,PY,98,-26.98,-56.83,67.55,3.09
Albany,5106834,75,US,43,42.65,-73.75,78.01,9.17
Pangnirtung,6096551,75,CA,74,66.15,-65.72,37.4,16.11
Bluff,2175403,0,AU,38,-23.58,149.07,56.57,8.88
Chuy,3443061,100,UY,83,-33.69,-53.46,61.97,7.16
Lebu,344979,79,ET,59,8.96,38.73,58.19,1.32
Ubauro,1163021,0,PK,13,28.16,69.73,100.31,4.85
Hilo,5855927,20,US,61,19.71,-155.08,82.0,4.7
Beloha,1067565,0,MG,78,-25.17,45.06,65.39,11.83
Kiunga,2093846,100,PG,99,-6.12,141.3,74.03,1.34
Dire Dawa,338832,69,ET,57,9.59,41.86,70.07,3.83
Maua,187231,81,KE,98,0.23,37.94,51.71,5.66
Alyangula,2079582,26,AU,100,-13.85,136.42,64.4,1.12
Rikitea,4030556,99,PF,79,-23.12,-134.97,75.65,12.75
East Wenatchee Bench,5793272,1,US,25,47.43,-120.28,79.0,12.75
Brigantine,4500920,20,US,47,39.41,-74.36,86.0,10.29
Arraial do Cabo,3471451,0,BR,78,-22.97,-42.02,77.0,11.41
Guerrero,3836564,75,AR,63,-24.19,-65.45,64.4,5.82
